Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2019, eco1, 0, 138.03, 15.41, 31, 278, 0, 
2020, eco1, 0, 137.51, 16.16, 0, 282, 0, 
2021, eco1, 0, 111.03, 16.49, 54, 306, 0, 
2022, eco1, 0, 134.23, 16.47, 0, 302, 0, 
2023, eco1, 0, 141.51, 15.64, 53, 305, 0, 
2024, eco1, 0, 161.29, 15.63, 0, 278, 0, 
2025, eco1, 0, 112.44, 17.22, 0, 365, 0, 
2026, eco1, 0, 153.85, 16.43, 0, 278, 0, 
2027, eco1, 0, 84.34, 17.07, 24, 300, 0, 
2028, eco1, 0, 101.27, 17.39, 0, 316, 0, 
2029, eco1, 0, 115.14, 16.35, 16, 296, 0, 
2030, eco1, 0, 136.8, 16.43, 33, 316, 0, 
2031, eco1, 0, 119.14, 16.58, 24, 317, 0, 
2032, eco1, 0, 130.18, 16.49, 0, 318, 0, 
2033, eco1, 0, 126.77, 17.08, 45, 329, 0, 
2034, eco1, 0, 132.46, 15.54, 19, 291, 0, 
2035, eco1, 0, 127.74, 16.51, 47, 302, 0, 
2036, eco1, 0, 119.54, 15.94, 0, 307, 0, 
2037, eco1, 0, 148.05, 16.43, 46, 322, 0, 
2038, eco1, 0, 119.11, 16.64, 22, 321, 0, 
2039, eco1, 0, 144.45, 16.75, 0, 287, 0, 
2040, eco1, 0, 122.01, 16.25, 0, 289, 0, 
2041, eco1, 0, 147.42, 16.39, 0, 290, 0, 
2042, eco1, 0, 175.46, 16.62, 21, 304, 0, 
2043, eco1, 0, 136.39, 16.83, 0, 325, 0, 
2044, eco1, 0, 118.58, 17.28, 0, 285, 0, 
2045, eco1, 0, 108.76, 17.82, 0, 306, 0, 
2046, eco1, 0, 150.29, 16.93, 27, 310, 0, 
2047, eco1, 0, 99.77, 17.02, 23, 322, 0, 
2048, eco1, 0, 111.98, 17.25, 48, 341, 0, 
2049, eco1, 0, 142.18, 16.79, 0, 297, 0, 
2050, eco1, 0, 155.63, 16.41, 0, 308, 0, 
2051, eco1, 0, 156.02, 16.53, 0, 365, 0, 
2052, eco1, 0, 93.84, 17.82, 0, 330, 0, 
2053, eco1, 0, 103.59, 16.43, 19, 274, 0, 
2054, eco1, 0, 107.31, 17.15, 0, 308, 0, 
2055, eco1, 0, 158.91, 16.43, 0, 297, 0, 
2056, eco1, 0, 124.88, 17.14, 18, 322, 0, 
2057, eco1, 0, 92.16, 17.66, 46, 365, 0, 
2058, eco1, 0, 105.6, 17.77, 34, 304, 0, 
2059, eco1, 0, 133.12, 17.55, 0, 303, 0, 
2060, eco1, 0, 143.09, 17.83, 0, 303, 0, 
2061, eco1, 0, 100.88, 17.56, 17, 313, 0, 
2062, eco1, 0, 127.57, 18.1, 0, 329, 0, 
2063, eco1, 0, 144.64, 17, 0, 287, 0, 
2064, eco1, 0, 132.79, 17.83, 0, 321, 0, 
2065, eco1, 0, 128.87, 17.69, 0, 326, 0, 
2066, eco1, 0, 112.42, 16.98, 0, 283, 0, 
2067, eco1, 0, 152.49, 15.95, 31, 300, 0, 
2068, eco1, 0, 121.33, 17.33, 0, 327, 0, 
2069, eco1, 0, 129.05, 16.08, 25, 322, 0, 
2070, eco1, 0, 116.24, 17.92, 0, 309, 0, 
2071, eco1, 0, 115.38, 17.93, 0, 330, 0, 
2072, eco1, 0, 126.48, 17.84, 0, 325, 0, 
2073, eco1, 0, 123.09, 17.43, 0, 316, 0, 
2074, eco1, 0, 116.89, 18.02, 0, 307, 0, 
2075, eco1, 0, 161.68, 15.91, 25, 321, 0, 
2076, eco1, 0, 134.56, 17.47, 0, 304, 0, 
2077, eco1, 0, 111.22, 18.21, 0, 328, 0, 
2078, eco1, 0, 107.83, 18.12, 0, 281, 0, 
2079, eco1, 0, 125.33, 17.4, 25, 321, 0, 
2080, eco1, 0, 121.11, 17.71, 0, 365, 0, 
2081, eco1, 0, 146.96, 17.38, 0, 339, 0, 
2082, eco1, 0, 116.45, 18.07, 0, 365, 0, 
2083, eco1, 0, 107.33, 18.3, 56, 351, 0, 
2084, eco1, 0, 139.61, 17.04, 0, 337, 0, 
2085, eco1, 0, 114.57, 18.17, 0, 365, 0, 
2086, eco1, 0, 131.79, 17.77, 46, 365, 0, 
2087, eco1, 0, 127.43, 18.07, 0, 336, 0, 
2088, eco1, 0, 121.47, 17.5, 59, 337, 0, 
2089, eco1, 0, 108.3, 18.77, 0, 329, 0, 
2090, eco1, 0, 119.64, 18.24, 0, 365, 0, 
2091, eco1, 0, 142.91, 17.68, 0, 316, 0, 
2092, eco1, 0, 135.68, 17.31, 0, 365, 0, 
2093, eco1, 0, 129.52, 17.24, 0, 329, 0, 
2094, eco1, 0, 130.17, 18.15, 76, 342, 0, 
2095, eco1, 0, 120.44, 18.64, 0, 365, 0, 
2096, eco1, 0, 120.7, 16.91, 0, 333, 0, 
2097, eco1, 0, 104.05, 18.81, 0, 365, 0, 
2098, eco1, 0, 119.25, 18.61, 0, 311, 0, 
