Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,min_relativehumidity,max_relativehumidity,co2,par,ozone,shortwave,FWI,
2099, 1, eco1, 0, 5.94, 4.11, 18.26, 3.72, 1.06, -99, 10.36, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 2, eco1, 0, 2.71, 1.59, 14.18, 2.35, 1.09, -99, 10.99, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 3, eco1, 0, 5.14, 3.67, 16.57, 36.35, 1.11, -99, 13.83, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 4, eco1, 0, 7.99, 3.93, 20.26, 17.04, 1.09, -99, 10.21, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 5, eco1, 0, 2.48, 10.85, 25.62, 3.76, 1.01, -99, 9.64, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 6, eco1, 0, 13.81, 16.45, 27.7, 57.41, 1.11, -99, 7.61, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 7, eco1, 0, 12.91, 22.85, 36.1, 73.24, 1.02, -99, 6.56, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 8, eco1, 0, 4.6, 22.19, 35.88, 7.96, 0.84, -99, 8.05, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 9, eco1, 0, 13.41, 20.35, 31.69, 28.69, 0.91, -99, 8.06, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 10, eco1, 0, 5.77, 14.67, 28.07, 69.44, 0.95, -99, 8.82, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 11, eco1, 0, 14.42, 8.56, 22.07, 35.77, 0.98, -99, 11.14, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 12, eco1, 0, 16.14, 7.64, 20.53, 13.82, 1.26, -99, 13.48, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 1, eco1, 0, 5.94, 4.11, 18.26, 3.72, 1.06, -99, 10.36, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 2, eco1, 0, 2.71, 1.59, 14.18, 2.35, 1.09, -99, 10.99, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 3, eco1, 0, 11.66, 3.54, 15.6, 46.32, 1, -99, 12.05, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 4, eco1, 0, 7.58, 7.38, 20.96, 31.49, 0.98, -99, 11.67, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 5, eco1, 0, 18.2, 11.45, 24.87, 155.02, 0.95, -99, 7.38, -99, -99, -99, -99, -99, -99, -99, 0, 
