"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"2082",12000,3764,4,3764,3764,3644,279738,3400,7e+05,70,3996.25714285714,0.68895,70
"5593",30979,7121,7,7121,7121,6874,294665,3200,630000,63,4677.22222222222,0.2868,133
"213",1710,11093,4,11093,11093,10079,129811,2800,490000,49,2649.20408163265,0.93195,182
"3408",18019,366,3,366,366,304,333716,4000,1e+06,100,3337.16,0.52095,282
"1302",9456,6279,1,6279,6279,6123,860275,3800,9e+05,90,9558.61111111111,0.79545,372
"2416",13631,2831,1,2831,2831,2757,138374,4000,1e+06,100,1383.74,0.6489,472
"3242",17276,1662,6,1662,1662,1574,134127,8200,1890000,189,709.666666666667,0.54375,661
"2213",12609,14393,18,14393,14393,13855,1308112,14400,3240000,324,4037.38271604938,0.67425,985
"776",6612,7865,6,7865,7865,7603,24000,3000,560000,56,428.571428571429,0.86775,1041
"5198",28867,8421,2,8421,8421,8234,643775,3200,640000,64,10058.984375,0.3429,1105
"1631",10571,5222,3,5222,5222,4986,98110,3400,7e+05,70,1401.57142857143,0.7494,1175
"680",6071,8243,4,8243,8243,7979,336100,2800,490000,49,6859.18367346939,0.88065,1224
"3052",16241,1357,8,1357,1357,1103,127730,8200,2680000,268,476.60447761194,0.5673,1492
"1096",8473,6890,2,6890,6890,6723,18140,2800,490000,49,370.204081632653,0.8241,1541
"2038",11848,4187,2,4187,4187,4054,33865,3600,8e+05,80,423.3125,0.69495,1621
"3184",17011,1074,4,1074,1074,1052,182228,5400,1700000,170,1071.92941176471,0.55185,1791
"1029",8158,7044,2,7044,7044,6877,135184,5000,1360000,136,994,0.83355,1927
"888",7288,7590,6,7590,7590,7339,13080,3000,560000,56,233.571428571429,0.8529,1983
"95",593,23767,4,23767,23767,21610,3111294,6800,1400000,140,22223.5285714286,0.9465,2123
"474",4722,9276,5,9276,9276,9035,56340,2800,490000,49,1149.79591836735,0.9036,2172
"6335",33701,8939,8,8939,8939,8661,334458,6400,1290000,129,2592.6976744186,0.18075,2301
"5221",28963,8163,2,8163,8163,7981,346920,3600,8e+05,80,4336.5,0.3396,2381
"714",6215,8091,6,8091,8091,7830,59825,2800,490000,49,1220.91836734694,0.87615,2430
"33",203,12068,2,12068,12068,10978,216482,3000,560000,56,3865.75,0.9552,2486
"1517",10261,5557,1,5557,5557,5408,357805,4600,1200000,120,2981.70833333333,0.7662,2606
"672",6045,8277,5,8277,8277,8006,315860,5000,1360000,136,2322.5,0.88155,2742
"5134",28512,17489,10,17489,17489,16944,256667,13200,4260000,426,602.504694835681,0.35115,3168
"2573",14103,2544,1,2544,2544,2480,156866,5000,1500000,150,1045.77333333333,0.62745,3318
"3474",18383,715,10,715,715,665,355411,6400,1290000,129,2755.12403100775,0.51195,3447
"1725",10808,10164,14,10164,10164,9701,132150,11000,3500000,350,377.571428571429,0.73575,3797
"6681",34962,3302,2,3302,3302,3208,114800,6800,2400000,240,478.333333333333,0.13365,4037
"678",6067,8333,6,8333,8333,8065,408168,3400,7e+05,70,5830.97142857143,0.8808,4107
"5817",32060,12840,6,12840,12840,12442,464244,6800,1490000,149,3115.73154362416,0.25485,4256
"128",812,11736,2,11736,11736,10670,2103150,3000,560000,56,37556.25,0.94245,4312
"178",1372,11575,6,11575,11575,10510,549437,3600,8e+05,80,6867.9625,0.93585,4392
"3196",17065,1931,11,1931,1931,1781,848616,13600,3950000,395,2148.39493670886,0.55005,4787
"2624",14288,2308,4,2308,2308,2176,489927,3200,640000,64,7655.109375,0.62085,4851
"1685",10701,10063,6,10063,10063,9607,596079,6800,1400000,140,4257.70714285714,0.7416,4991
"993",8047,7297,4,7297,7297,6885,221276,6600,1820000,182,1215.8021978022,0.83865,5173
"892",7313,15067,10,15067,15067,14647,1389856,6400,1290000,129,10774.0775193798,0.8523,5302
"1852",11221,4421,3,4421,4421,4284,164923,5000,1260000,126,1308.9126984127,0.71925,5428
"5996",32779,5823,3,5823,5823,5587,138300,6400,1990000,199,694.974874371859,0.22905,5627
"4292",23703,13837,5,13837,13837,13502,130060,6400,1290000,129,1008.21705426357,0.46035,5756
"420",4244,9504,3,9504,9504,9155,69874,3200,640000,64,1091.78125,0.90945,5820
"1503",10231,11118,13,11118,11118,10657,2616453,7000,1520000,152,17213.5065789474,0.76815,5972
"441",4442,9422,4,9422,9422,9088,65070,2800,490000,49,1327.95918367347,0.90705,6021
"2159",12321,7417,7,7417,7417,7180,1178692,8400,1960000,196,6013.73469387755,0.67995,6217
"156",1092,11621,1,11621,11621,10556,242800,5000,1360000,136,1785.29411764706,0.93885,6353
"3515",18630,165,3,165,165,164,77050,5000,1360000,136,566.544117647059,0.5061,6489
"564",5450,8867,1,8867,8867,8664,79524,3200,640000,64,1242.5625,0.8946,6553
"1616",10536,5438,5,5438,5438,5126,376672,5400,1700000,170,2215.71764705882,0.75165,6723
"3454",18278,1118,14,1118,1118,1002,326815,9800,2010000,201,1625.94527363184,0.51465,6924
"337",3134,9996,4,9996,9996,9467,16202,3600,8e+05,80,202.525,0.91965,7004
"4926",27401,9427,3,9427,9427,9094,279522,5000,1360000,136,2055.30882352941,0.37635,7140
"2001",11746,4032,1,4032,4032,3904,176903,5400,1700000,170,1040.60588235294,0.6999,7310
"1580",10447,5450,3,5450,5450,5302,249910,8000,2560000,256,976.2109375,0.75705,7566
"1038",8191,7161,9,7161,7161,6829,55640,6800,2260000,226,246.194690265487,0.83235,7792
"2598",14198,7476,15,7476,7476,7133,491828,11200,2450000,245,2007.4612244898,0.6243,8037
"933",7610,7725,3,7725,7725,7477,1581468,2800,490000,49,32274.8571428571,0.8472,8086
"3047",16204,1301,5,1301,1301,1130,89354,7800,2450000,245,364.710204081633,0.56775,8331
"6252",33393,4950,6,4950,4950,4629,42790,6800,2190000,219,195.388127853881,0.1923,8550
"2503",13916,2819,5,2819,2819,2512,119536,8000,2310000,231,517.471861471861,0.63735,8781
"3238",17260,872,8,872,872,796,50700,3400,7e+05,70,724.285714285714,0.54435,8851
"2417",13632,3031,3,3031,3031,2857,312954,4000,1e+06,100,3129.54,0.64875,8951
"1934",11523,4306,8,4306,4306,4077,238465,3400,7e+05,70,3406.64285714286,0.70845,9021
"1653",10625,5161,2,5161,5161,4918,226762,3400,7e+05,70,3239.45714285714,0.74625,9091
"6151",33146,5280,3,5280,5280,5133,594215,3600,8e+05,80,7427.6875,0.20685,9171
"3169",16936,1087,5,1087,1087,1004,101726,3000,560000,56,1816.53571428571,0.5538,9227
"525",5149,18093,5,18093,18093,17608,448646,7600,1690000,169,2654.7100591716,0.89835,9396
"2773",14849,2009,2,2009,2009,2052,225427,3000,560000,56,4025.48214285714,0.6009,9452
"2092",12026,3815,5,3815,3815,3691,102970,3400,7e+05,70,1471,0.68775,9522
"2718",14654,2266,6,2266,2266,2132,197853,3200,640000,64,3091.453125,0.6081,9586
"5104",28384,8914,7,8914,8914,8483,109808,10000,4810000,481,228.29106029106,0.35505,10067
"5561",30876,14558,10,14558,14558,14138,526179,8000,1920000,192,2740.515625,0.29145,10259
"5892",32419,6066,1,6066,6066,5915,46993,3600,8e+05,80,587.4125,0.2439,10339
"226",1869,10932,3,10932,10932,9982,122470,3000,560000,56,2186.96428571429,0.93045,10395
"4646",25869,11056,2,11056,11056,10051,84730,3000,560000,56,1513.03571428571,0.41415,10451
"351",3257,10012,2,10012,10012,9514,190644,3000,560000,56,3404.35714285714,0.918,10507
"2890",15379,3487,7,3487,3487,3412,1843676,7200,1640000,164,11241.9268292683,0.58695,10671
"1388",9976,5857,1,5857,5857,5708,715566,3800,9e+05,90,7950.73333333333,0.7842,10761
"6448",34071,3995,2,3995,3995,3779,469497,3400,720000,72,6520.79166666667,0.1647,10833
"5694",31510,13576,11,13576,13576,13104,221837,7000,1500000,150,1478.91333333333,0.2727,10983
"1426",10069,5853,3,5853,5853,5704,23050,5000,1500000,150,153.666666666667,0.7791,11133
"3402",17997,888,5,888,888,873,124645,6600,1340000,134,930.186567164179,0.5217,11267
"774",6596,16936,8,16936,16936,16304,569028,13800,4900000,490,1161.28163265306,0.86805,11757
"669",6038,8400,2,8400,8400,8214,69000,3000,560000,56,1232.14285714286,0.88185,11813
"3447",18227,243,4,243,243,205,328500,4000,1e+06,100,3285,0.5157,11913
"1021",8121,7134,4,7134,7134,6966,22355,5000,1360000,136,164.375,0.83475,12049
"893",7314,23039,13,23039,23039,22359,1146759,12600,3300000,330,3475.02727272727,0.85215,12379
"952",7784,7669,3,7669,7669,7494,176622,3600,8e+05,80,2207.775,0.8445,12459
"3401",17989,441,1,441,441,434,1286400,3200,640000,64,20100,0.52185,12523
