"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length_1","Shape_Area_1","Shape_Length","Shape_Area","area_ha","cum_area_ha"
"2899",15632,2991,3,2991,2991,1440,162,752280,613836000,6800,1460000,146,146
"5096",27949,9166,2,9166,9166,2116,82,3360,683100,8000,2410000,241,387
"2639",14417,4418,9,4418,4418,914,124,6480,1320300,7200,1600000,160,547
"6345",33474,9989,2,9989,9989,4060,82,6358560,7426404000,7000,1500000,150,697
"1295",9043,12995,3,12995,12995,2943,125,160380,142185600,8400,2290000,229,926
"1462",10008,5909,2,5909,5909,1219,43,8820,2835000,6800,2190000,219,1145
"8527",43508,3349,1,3349,3349,2030,41,3179280,3713202000,5200,1440000,144,1289
"821",6263,8170,3,8170,8170,1878,43,38400,20058300,5400,1700000,170,1459
"2355",13390,6178,2,6178,6178,4060,82,6358560,7426404000,6800,1400000,140,1599
"6320",33386,5044,2,5044,5044,953,43,13620,5856300,8400,3060000,306,1905
"6500",34040,8433,6,8433,8433,1718,122,31620,13918500,6200,1200000,120,2025
"7275",36969,940,2,940,940,492,81,116280,73296000,5000,1360000,136,2161
"4906",26709,9885,4,9885,9885,2201,52,4020,1009800,4800,1400000,140,2301
"450",3435,10094,2,10094,10094,2284,90,8220,2482200,5400,1620000,162,2463
"6814",35367,2842,2,2842,2842,574,43,3660,826200,3400,700000,70,2533
"5310",28929,8175,4,8175,8175,1859,90,4440,1080000,4000,1000000,100,2633
"7920",40340,10588,3,10588,10588,2336,71,5640,1836000,3400,700000,70,2703
"7686",38982,11825,3,11825,11825,2597,90,3420,712800,3400,700000,70,2773
"4951",26936,9723,1,9723,9723,2655,42,3026520,4013760600,9800,4460000,446,3219
"2142",12085,3698,3,3698,3698,727,21,3600,801900,3600,800000,80,3299
"1092",8102,7547,6,7547,7547,1690,41,3360,683100,8200,2890000,289,3588
"8692",44337,2227,3,2227,2227,467,41,3240,648000,5400,1620000,162,3750
"5756",31404,13892,6,13892,13892,3158,125,75120,46673100,11400,3110000,311,4061
"6479",33962,4281,2,4281,4281,878,42,9840,3267000,7000,2260000,226,4287
"1127",8227,7024,5,7024,7024,1554,82,9960,3132900,3200,640000,64,4351
"1193",8616,7004,3,7004,7004,1567,43,3780,891000,3000,560000,56,4407
"2264",12865,3204,6,3204,3204,613,81,4440,1080000,3400,700000,70,4477
"5777",31530,6916,2,6916,6916,1697,43,52860,40637700,9800,3450000,345,4822
"6729",34937,3350,1,3350,3350,2030,41,3179280,3713202000,3000,560000,56,4878
"8595",43771,5743,14,5743,5743,1156,83,22680,9135900,9200,1750000,175,5053
"5006",27202,9649,1,9649,9649,2655,42,3026520,4013760600,4400,1050000,105,5158
"1053",7934,7309,2,7309,7309,1710,21,25980,13162500,3200,640000,64,5222
"4941",26907,9654,2,9654,9654,2184,43,24180,12319200,2800,490000,49,5271
"282",2034,10793,2,10793,10793,2655,42,3026520,4013760600,5000,1360000,136,5407
"6511",34071,3995,4,3995,3995,790,81,3420,729000,3400,720000,72,5479
"641",5161,9242,2,9242,9242,2117,52,2820,496800,2800,490000,49,5528
"6494",34021,4198,3,4198,4198,828,81,7020,2276100,8600,3940000,394,5922
"2325",13240,3110,2,3110,3110,613,81,4440,1080000,3000,560000,56,5978
"8539",43545,3201,5,3201,3201,612,43,11820,4920300,9800,3740000,374,6352
"346",2679,21102,6,21102,21102,4683,64,18240,7236900,6800,1460000,146,6498
"4983",27099,9551,3,9551,9551,2143,82,7080,2570400,8000,2630000,263,6761
"2733",14821,1907,2,1907,1907,388,21,12780,4992300,4000,1000000,100,6861
"7589",38482,12124,5,12124,12124,2668,82,3000,558900,3400,700000,70,6931
"4697",25799,11077,2,11077,11077,2414,31,2820,496800,3000,560000,56,6987
"6488",33999,8506,4,8506,8506,1728,162,8400,1945800,8400,1960000,196,7183
"1029",7761,7473,3,7473,7473,1710,21,25980,13162500,4000,1000000,100,7283
"1177",8501,7140,3,7140,7140,1542,21,3240,656100,5000,1360000,136,7419
"7406",37485,432,1,432,432,2030,41,3179280,3713202000,2800,490000,49,7468
"6546",34181,4075,2,4075,4075,1129,81,84840,46410300,8400,3050000,305,7773
"7463",37789,397,1,397,397,2030,41,3179280,3713202000,6400,1990000,199,7972
"1759",10739,5008,2,5008,5008,1020,81,3420,712800,3400,700000,70,8042
"2540",14073,2475,1,2475,2475,2030,41,3179280,3713202000,3400,700000,70,8112
"2837",15344,1754,4,1754,1754,361,21,6840,2220300,6800,2190000,219,8331
"4387",23759,3231,3,3231,3231,642,43,4440,1142100,3000,560000,56,8387
"3340",18179,358,3,358,358,50,41,5340,1663200,8200,2890000,289,8676
"917",6849,23584,8,23584,23584,5411,214,98700,61144200,12200,3000000,300,8976
"1140",8277,6947,3,6947,6947,1514,42,4020,1009800,3400,700000,70,9046
"4122",22299,10924,2,10924,10924,2399,82,6600,2068200,3200,640000,64,9110
"8263",42305,7708,5,7708,7708,1667,41,3480,734400,10400,4200000,420,9530
"813",6188,8234,5,8234,8234,1870,43,3360,683100,5000,1360000,136,9666
"5408",29452,7994,2,7994,7994,1875,82,9840,2973600,8400,3200000,320,9986
"7666",38902,11840,1,11840,11840,2655,42,3026520,4013760600,3000,560000,56,10042
"5272",28810,8488,2,8488,8488,1977,71,6000,1731600,6000,1760000,176,10218
"1612",10352,11145,3,11145,11145,4060,82,6358560,7426404000,6400,1260000,126,10344
"6193",33064,11347,3,11347,11347,3142,84,3182700,3713931000,14800,4680000,468,10812
"5523",30167,7548,6,7548,7548,1690,41,3360,683100,2800,490000,49,10861
"3112",17141,798,4,798,798,129,42,4800,1179900,2800,490000,49,10910
"1211",8688,6879,7,6879,6879,1497,43,3960,980100,3400,700000,70,10980
"7091",36284,1795,2,1795,1795,377,42,4020,1009800,5000,1500000,150,11130
"8011",40852,9651,3,9651,9651,2158,52,3600,801900,12000,5890000,589,11719
"5806",31658,6622,2,6622,6622,1436,81,11940,4626000,2800,490000,49,11768
"7291",37029,997,3,997,997,155,81,2940,538200,5200,1440000,144,11912
"688",5524,8833,6,8833,8833,2020,42,2820,496800,8400,2960000,296,12208
