"","gridcode_vec","prob_vec","area_vec","area_ha","cum_area_ha"
"1",38334,0.9,1050000,105,105
"3",18762,0.9,7e+05,70,175
"8",18734,0.9,1190000,119,294
"11",18816,0.8,1260000,126,420
"13",38293,0.7,4490000,449,869
"14",18587,0.7,1490000,149,1018
"17",38187,0.7,1890000,189,1207
"20",37999,0.9,560000,56,1263
"29",18589,0.7,5030000,503,1766
"30",18350,0.8,1800000,180,1946
"32",18223,0.7,1500000,150,2096
"38",37725,0.9,1e+06,100,2196
"40",37578,0.9,7e+05,70,2266
"42",17942,0.9,7e+05,70,2336
"43",44130,0.9,2650000,265,2601
"45",37768,0.7,1390000,139,2740
"47",18304,0.7,1890000,189,2929
"51",44091,0.9,490000,49,2978
"52",17998,0.9,1050000,105,3083
"54",37769,0.7,3830000,383,3466
"57",44087,0.9,1200000,120,3586
"59",17783,0.9,1200000,120,3706
"60",37459,0.9,630000,63,3769
"62",37520,0.9,2890000,289,4058
"63",37276,0.9,720000,72,4130
"64",37278,0.9,8e+05,80,4210
"65",37265,0.9,560000,56,4266
"72",37275,0.566666666666667,8990000,899,5165
"73",37193,0.9,8e+05,80,5245
"75",17374,0.9,1e+06,100,5345
"76",43983,0.9,1e+06,100,5445
"77",17490,0.9,1700000,170,5615
"80",37232,0.6,2920000,292,5907
"81",17402,0.7,1190000,119,6026
"85",17361,0.9,1190000,119,6145
"89",17358,0.9,1e+06,100,6245
"92",37136,0.9,7e+05,70,6315
"94",37057,0.9,7e+05,70,6385
"98",37025,0.766666666666667,1990000,199,6584
"101",17128,0.9,560000,56,6640
"103",37310,0.7,7330000,733,7373
"105",17257,0.8,1850000,185,7558
"106",23249,0.9,640000,64,7622
"107",36965,0.9,2140000,214,7836
"109",36899,0.9,7e+05,70,7906
"116",36906,0.9,7e+05,70,7976
"119",16651,0.8,1560000,156,8132
"125",16116,0.9,1e+06,100,8232
"130",15894,0.9,490000,49,8281
"138",16140,0.9,560000,56,8337
"141",15753,0.9,560000,56,8393
"144",16293,0.9,6700000,670,9063
"146",43913,0.8,3480000,348,9411
"148",44413,0.9,1e+06,100,9511
"151",23097,0.9,720000,72,9583
"156",36538,0.9,9e+05,90,9673
"158",43879,0.8,2190000,219,9892
"168",44385,0.9,560000,56,9948
"169",15143,0.9,1260000,126,10074
"172",44388,0.9,490000,49,10123
"179",14999,0.9,630000,63,10186
"190",14976,0.9,3060000,306,10492
"191",36239,0.9,1500000,150,10642
"196",43771,0.633333333333333,1750000,175,10817
"200",14849,0.9,560000,56,10873
"201",36310,0.7,980000,98,10971
"208",14628,0.9,490000,49,11020
"209",44369,0.8,1490000,149,11169
"211",14743,0.8,1260000,126,11295
"212",36111,0.9,720000,72,11367
"214",14478,0.7,5070000,507,11874
"220",43729,0.9,8e+05,80,11954
"222",14462,0.9,9e+05,90,12044
"223",21657,0.9,720000,72,12116
"229",14197,0.5,980000,98,12214
"230",14269,0.6,1360000,136,12350
"231",14277,0.5,2680000,268,12618
"239",14041,0.9,7e+05,70,12688
"241",14036,0.7,1960000,196,12884
"245",21643,0.9,1e+06,100,12984
"248",35463,0.9,560000,56,13040
"250",13772,0.9,560000,56,13096
"251",13874,0.7,6560000,656,13752
"265",13740,0.8,5890000,589,14341
"266",35431,0.9,8e+05,80,14421
"269",35433,0.766666666666667,2130000,213,14634
"271",35203,0.9,1e+06,100,14734
"280",13156,0.9,8e+05,80,14814
"282",35038,0.766666666666667,5260000,526,15340
"284",23083,0.9,560000,56,15396
"298",35127,0.8,3380000,338,15734
"304",12780,0.9,640000,64,15798
"322",23758,0.6,2360000,236,16034
