"","gridcode_vec","diversity_vec","area_vec","Prob","area_ha","cum_area_ha"
"307",5809,1126,490000,0.825,49,49
"288",7331,1418,490000,0.825,49,98
"3770",28412,-47,1e+06,0.6,100,198
"5537",285,-932,1190000,0.3,119,317
"3595",30468,-139,4950000,0.6,495,812
"5552",63,-697,1190000,0.3,119,931
"3548",30472,-294,8e+05,0.6,80,1011
"541",33601,720,4550000,0.775,455,1466
"355",39936,1119,7e+05,0.825,70,1536
"862",27186,597,560000,0.775,56,1592
"1845",6643,286,2060000,0.65,206,1798
"2981",33945,-342,2890000,0.6,289,2087
"1080",343,990,490000,0.775,49,2136
"39",9132,2009,3700000,0.9,370,2506
"2477",37128,-152,560000,0.6,56,2562
"2897",34296,-335,3750000,0.6,375,2937
"2012",41149,446,8e+05,0.65,80,3017
"4505",35893,-552,1e+06,0.3,100,3117
"6069",11896,-1065,560000,0.1,56,3173
"4543",35617,-849,1430000,0.3,143,3316
"2467",17272,-400,560000,0.6,56,3372
"1726",30798,340,2630000,0.65,263,3635
"1272",34731,120,1990000,0.65,199,3834
"5154",30997,-671,2090000,0.3,209,4043
"1786",21203,44,6e+06,0.65,600,4643
"4085",24111,-118,640000,0.6,64,4707
"2044",4364,354,8e+05,0.65,80,4787
"4133",38404,-293.5,1400000,0.6,140,4927
"1902",42136,251,1360000,0.65,136,5063
"4071",24271,-224,2120000,0.6,212,5275
"2271",24818,448,1e+06,0.65,100,5375
"1977",28268,101,8e+05,0.65,80,5455
"5416",26163,-997.5,2890000,0.3,289,5744
"2947",33975,-78.5,6160000,0.6,616,6360
"5454",1528,-660,7e+05,0.3,70,6430
"1217",13961,23.5,1050000,0.65,105,6535
"1562",32489,103,1190000,0.65,119,6654
"2375",24019,201,3830000,0.65,383,7037
"893",20345,789,1e+06,0.775,100,7137
"4821",11199,-573.666666666667,2650000,0.3,265,7402
"1803",29489,330,490000,0.65,49,7451
"315",5161,1254,490000,0.825,49,7500
"5578",37999,-1275,560000,0.1,56,7556
"1587",9293,24.8,3450000,0.65,345,7901
"2199",1875,289,7e+05,0.65,70,7971
"6523",38642,-1006,640000,0.1,64,8035
"1097",38581,573,9e+05,0.775,90,8125
"3560",30956,-317,5140000,0.6,514,8639
"1003",39818,554,1530000,0.775,153,8792
"6111",11595,-1145,4720000,0.1,472,9264
"748",28949,578,2500000,0.775,250,9514
"5310",28419,-635,7380000,0.3,738,10252
"545",33427,987,4450000,0.775,445,10697
"3323",42817,-400,7e+05,0.6,70,10767
"1943",41908,165,640000,0.65,64,10831
"2295",39625,106,1190000,0.65,119,10950
"2749",35097,-309,7e+05,0.6,70,11020
"5322",5122,-604,1200000,0.3,120,11140
"2323",635,122,560000,0.65,56,11196
"1495",32949,56,8e+05,0.65,80,11276
"1195",14226,105,1430000,0.65,143,11419
"4980",10168,-876.5,2e+06,0.3,200,11619
"2365",24040,201,490000,0.65,49,11668
"782",41724,794,1500000,0.775,150,11818
"2210",1854,289,8e+05,0.65,80,11898
"18",25242,2539,1e+06,0.925,100,11998
"1021",39716,854,1e+06,0.775,100,12098
"2699",13997,-106,2310000,0.6,231,12329
"2845",12509,-180,3850000,0.6,385,12714
"1407",10928,54,1290000,0.65,129,12843
"5048",9365,-625,3060000,0.3,306,13149
"3458",42557,-251,4560000,0.6,456,13605
"3926",22664,-123,8e+05,0.6,80,13685
"5098",8784,-553,9e+05,0.3,90,13775
"326",26942,1076,7350000,0.825,735,14510
"184",35541,1050,490000,0.825,49,14559
"5360",27494,-878,560000,0.3,56,14615
"4146",38115,-652,560000,0.3,56,14671
"2538",36756,-297,7e+05,0.6,70,14741
"75",35193,1546.5,1430000,0.85,143,14884
"121",29902,1647,560000,0.85,56,14940
"3573",30888,-469,6800000,0.6,680,15620
"822",28018,587,720000,0.775,72,15692
"1",17771,3152,640000,0.95,64,15756
"4627",13050,-641,3560000,0.3,356,16112
"5541",204,-508,640000,0.3,64,16176
"1311",34282,219,3190000,0.65,319,16495
"714",6372,639,490000,0.775,49,16544
"2332",38937,277,1700000,0.65,170,16714
"1287",12213,354,1120000,0.65,112,16826
"1963",5493,259,7e+05,0.65,70,16896
"4034",24746,-48,1e+06,0.6,100,16996
"5714",43947,-1199,640000,0.1,64,17060
"2048",40801,62,7e+05,0.65,70,17130
"3219",32848,-449,7e+05,0.6,70,17200
"5536",38646,-959,1600000,0.3,160,17360
"530",33681,831,560000,0.775,56,17416
"966",22341,585,8e+05,0.775,80,17496
"4599",13442,-983,8e+05,0.3,80,17576
"1039",24338,762,720000,0.775,72,17648
"2292",24371,187,720000,0.65,72,17720
"5423",1890,-511,1440000,0.3,144,17864
"1248",35203,39,1e+06,0.65,100,17964
"391",24283,1351,8e+05,0.825,80,18044
"3776",28410,-62,490000,0.6,49,18093
"2886",12070,-7.66666666666667,2800000,0.6,280,18373
"4732",34154,-907,1190000,0.3,119,18492
"3384",31809,-288,560000,0.6,56,18548
"301",6032,1167,560000,0.825,56,18604
"2279",39617,2,1190000,0.65,119,18723
"5448",39887,-740,560000,0.3,56,18779
"2264",25060,49,490000,0.65,49,18828
"448",13943,938,490000,0.775,49,18877
"55",4953,2340,490000,0.9,49,18926
"3745",5782,-500,8e+05,0.6,80,19006
"5182",30512,-609,640000,0.3,64,19070
"859",27189,818,640000,0.775,64,19134
"1081",38789,681,8910000,0.775,891,20025
"270",42556,1354,1700000,0.825,170,20195
"418",17250,709,560000,0.775,56,20251
"167",14737,1006,7e+05,0.825,70,20321
"1076",24099,791,1960000,0.775,196,20517
"3938",19369,-33.3333333333333,2630000,0.6,263,20780
"730",29110,511.5,3450000,0.775,345,21125
"1663",31335,188,1e+06,0.65,100,21225
"528",21482,720,560000,0.775,56,21281
"1576",9456,351,9e+05,0.65,90,21371
"2027",27487,460,8e+05,0.65,80,21451
"294",29429,1138.5,10660000,0.825,1066,22517
"2709",43613,-136,8e+05,0.6,80,22597
"1398",43119,12.5,2190000,0.65,219,22816
"2815",12465,-287,3600000,0.6,360,23176
"3111",33279,-134,1120000,0.6,112,23288
"2359",24080,317.5,1290000,0.65,129,23417
"2711",13755,-175,1500000,0.6,150,23567
"4476",35986,-778,1360000,0.3,136,23703
"4968",32985,-753,560000,0.3,56,23759
"2714",13911,-496,3190000,0.6,319,24078
"3040",33480,-466,2700000,0.6,270,24348
"1087",24051,990,2400000,0.775,240,24588
"3898",3435,-3,1620000,0.6,162,24750
"2171",40355,449,1e+06,0.65,100,24850
"3607",29861,-32,1e+06,0.6,100,24950
"1480",32935,79,9210000,0.65,921,25871
"28",12700,2031,1190000,0.9,119,25990
"3229",32809,-424,560000,0.6,56,26046
"5432",25848,-617,1400000,0.3,140,26186
"1543",32802,426,1690000,0.65,169,26355
"1088",24000,650,1750000,0.775,175,26530
"941",2050,738,560000,0.775,56,26586
"1781",7007,451,1e+06,0.65,100,26686
"2042",27608,291,1360000,0.65,136,26822
"2807",12645,-236,640000,0.6,64,26886
"2590",23831,-16,490000,0.6,49,26935
"2918",34178,-4,4650000,0.6,465,27400
"2286",24732,331,3190000,0.65,319,27719
"497",11888,678.333333333333,3040000,0.775,304,28023
"5683",17461,-1060,1680000,0.1,168,28191
"6295",30591,-1067,1260000,0.1,126,28317
"2988",33829,-150,1e+06,0.6,100,28417
"853",4455,833,7e+05,0.775,70,28487
"5204",7364,-845,1260000,0.3,126,28613
"3763",28743,-311,1360000,0.6,136,28749
"5281",5862,-532,490000,0.3,49,28798
"662",30799,864,1530000,0.775,153,28951
"2102",26555,393.5,2870000,0.65,287,29238
"2623",43732,-199,560000,0.6,56,29294
"854",27179,833,560000,0.775,56,29350
"3931",26229,-11,810000,0.6,81,29431
"950",40151,607.333333333333,2600000,0.775,260,29691
"873",4144,897,490000,0.775,49,29740
"1257",34885,216,490000,0.65,49,29789
"52",41569,2379,7e+05,0.9,70,29859
"3122",10661,-360,1520000,0.6,152,30011
"6008",13363,-1119,1050000,0.1,105,30116
"156",39210,1922,1800000,0.85,180,30296
"1643",31994,126,4580000,0.65,458,30754
"2041",4409,190,560000,0.65,56,30810
"646",31330,959,2500000,0.775,250,31060
"1247",43626,360,3690000,0.65,369,31429
"3011",43138,-101,490000,0.6,49,31478
"2083",3646,175,490000,0.65,49,31527
"2420",18293,-468,490000,0.6,49,31576
"5526",38726,-891,1700000,0.3,170,31746
"5517",459,-725,630000,0.3,63,31809
"4570",35355,-958.6,7700000,0.3,770,32579
"5421",2147,-893,7e+05,0.3,70,32649
"2743",43604,-319,2500000,0.6,250,32899
"2122",2953,205,8e+05,0.65,80,32979
"2772",35172,-404,2240000,0.6,224,33203
"335",40618,1446,5200000,0.825,520,33723
"1074",24189,647,5760000,0.775,576,34299
"1598",32070,279,980000,0.65,98,34397
"4315",36837,-699,8e+05,0.3,80,34477
"1875",6343,286,1890000,0.65,189,34666
"928",40392,566,1500000,0.775,150,34816
"1556",32456,304,2690000,0.65,269,35085
"3373",31879,-187,640000,0.6,64,35149
"4329",36784,-522.666666666667,2820000,0.3,282,35431
"2582",44375,-42,490000,0.6,49,35480
"3811",41297,-447,640000,0.6,64,35544
"712",6351,671,1260000,0.775,126,35670
"4959",32994,-591,560000,0.3,56,35726
"170",14298,1292,1260000,0.825,126,35852
"2760",13277,-114,1260000,0.6,126,35978
"1810",29815,421,1200000,0.65,120,36098
"3702",42181,-321.333333333333,1890000,0.6,189,36287
"1124",17754,84,490000,0.65,49,36336
"2329",634,122,2800000,0.65,280,36616
"1958",42012,357,7e+05,0.65,70,36686
"3428",42622,-84,1190000,0.6,119,36805
"3240",32723,-214.333333333333,2540000,0.6,254,37059
"751",42062,801,1e+06,0.775,100,37159
"4094",410,-443,1820000,0.6,182,37341
"1642",42647,460,8e+05,0.65,80,37421
"1820",42211,400,560000,0.65,56,37477
"2998",33628,-21,1400000,0.6,140,37617
"3274",10008,-55,2190000,0.6,219,37836
"2263",1231,49,7e+05,0.65,70,37906
"3648",42232,-32,1990000,0.6,199,38105
"2225",25853,443.5,1490000,0.65,149,38254
"3353",9143,-422.5,1600000,0.6,160,38414
"3630",6935,-231.666666666667,1920000,0.6,192,38606
"686",29910,758,3200000,0.775,320,38926
"3615",29939,-1,7e+05,0.6,70,38996
"2735",13452,-140,1260000,0.6,126,39122
"3143",33694,-170,1200000,0.6,120,39242
"4574",13581,-927,560000,0.3,56,39298
"1759",7265,394,1e+06,0.65,100,39398
"3830",27890,-163,3450000,0.6,345,39743
"875",26970,647,3250000,0.775,325,40068
"4103",38736,-346,1190000,0.6,119,40187
"925",22576,700,560000,0.775,56,40243
"4487",14434,-912,8e+05,0.3,80,40323
"4054",39399,-12,560000,0.6,56,40379
"958",2000,646,1260000,0.775,126,40505
"1148",36541,23,1e+06,0.65,100,40605
"2893",12220,-80,4420000,0.6,442,41047
"957",44208,546.5,2450000,0.775,245,41292
"266",42562,1070,1e+06,0.825,100,41392
"5396",26631,-813,3840000,0.3,384,41776
"5",22419,3087,9140000,0.95,914,42690
"3946",2314,-458,1700000,0.6,170,42860
"733",6088,517,7e+05,0.775,70,42930
"800",5456,658,8e+05,0.775,80,43010
"1842",6472,388,8e+05,0.65,80,43090
"6092",11617,-1134.5,7920000,0.1,792,43882
"4343",16307,-967,980000,0.3,98,43980
"1847",42147,344,8e+05,0.65,80,44060
"3465",8739,-46,640000,0.6,64,44124
"3488",8126,-435,720000,0.6,72,44196
"783",41701,794,1e+06,0.775,100,44296
"594",9790,782,8e+05,0.775,80,44376
"2317",650,115,560000,0.65,56,44432
"1492",32868,161,7e+05,0.65,70,44502
"308",5516,1296,8e+05,0.825,80,44582
"1025",39648,854,490000,0.775,49,44631
"1920",6067,383,7e+05,0.65,70,44701
"5411",19385,-921,1490000,0.3,149,44850
"697",6845,533.25,3380000,0.775,338,45188
"1004",25509,941,3630000,0.775,363,45551
"1042",39201,503,640000,0.775,64,45615
"3902",26551,-260,2390000,0.6,239,45854
"2840",12575,-493,7e+05,0.6,70,45924
"1168",36257,109.5,1460000,0.65,146,46070
"358",25717,1114,8e+05,0.825,80,46150
"299",28964,1210,490000,0.825,49,46199
"2338",38902,178,560000,0.65,56,46255
"2611",14572,-484,640000,0.6,64,46319
"2429",44130,-96,2650000,0.6,265,46584
"3504",30905,-424,1920000,0.6,192,46776
"5373",40778,-619,8e+05,0.3,80,46856
"3289",32372,-320,1280000,0.6,128,46984
"183",43628,1039,7e+05,0.825,70,47054
"5211",7122,-778,1e+06,0.3,100,47154
"2150",26397,173,8310000,0.65,831,47985
"2497",36940,-307,560000,0.6,56,48041
"1592",9255,19,7e+05,0.65,70,48111
"482",34948,861.666666666667,5050000,0.775,505,48616
"1689",8296,388,9e+05,0.65,90,48706
"3983",25972,-285,7e+05,0.6,70,48776
"6849",10242,-1702,1e+06,0.05,100,48876
"2625",43729,-269,8e+05,0.6,80,48956
"2474",17304,-300,490000,0.6,49,49005
"567",10192,783,3380000,0.775,338,49343
"604",32342,809,2750000,0.775,275,49618
"2862",43398,-130,8e+05,0.6,80,49698
"2234",25814,31.5,1560000,0.65,156,49854
"731",6144,509,1700000,0.775,170,50024
"3945",40352,-149,1e+06,0.6,100,50124
"3899",26414,-411,720000,0.6,72,50196
"1400",11064,6,1190000,0.65,119,50315
"2773",13018,-58,490000,0.6,49,50364
"1201",14136,307,1600000,0.65,160,50524
"3777",29243,-386,490000,0.6,49,50573
"5918",14462,-1001,9e+05,0.1,90,50663
"961",40115,517.5,2730000,0.775,273,50936
"1730",30646,329,9e+05,0.65,90,51026
"1339",21556,196,1830000,0.65,183,51209
"2465",17463,-254,560000,0.6,56,51265
"572",10211,969,8e+05,0.775,80,51345
"243",21379,1282.5,1260000,0.825,126,51471
"2500",17147,-118,3910000,0.6,391,51862
"3416",31483,-223,560000,0.6,56,51918
"3728",6138,-248,3060000,0.6,306,52224
"3598",30060,-449,4110000,0.6,411,52635
"2161",26248,332,1190000,0.65,119,52754
"2672",35717,-281,1700000,0.6,170,52924
"171",14287,1178.5,1690000,0.825,169,53093
"3658",29567,-21,1200000,0.6,120,53213
"2452",37434,-167,640000,0.6,64,53277
"3721",29055,-386,1360000,0.6,136,53413
"2719",13616,-184,8e+05,0.6,80,53493
"151",1372,1671,8e+05,0.85,80,53573
"4344",36614,-719,490000,0.3,49,53622
"1659",31810,392,2400000,0.65,240,53862
"523",33761,569,490000,0.775,49,53911
"1108",18587,247,1490000,0.65,149,54060
"5156",30884,-597,560000,0.3,56,54116
"3247",10247,-333,8e+05,0.6,80,54196
"1957",41859,250,8e+05,0.65,80,54276
"2788",12751,-114,8e+05,0.6,80,54356
"1749",7533,394,7e+05,0.65,70,54426
"3044",10817,-319.5,1200000,0.6,120,54546
"2648",14314,-400,560000,0.6,56,54602
"3812",41179,-141,640000,0.6,64,54666
"3787",28354,-249,1360000,0.6,136,54802
"2812",34751,-81.5,2070000,0.6,207,55009
"3304",32488,-163,1700000,0.6,170,55179
"557",10477,830,9e+05,0.775,90,55269
"3391",31897,-51,5590000,0.6,559,55828
"599",9655,744,1360000,0.775,136,55964
"4123",38651,-158,1700000,0.6,170,56134
"1685",31243,34,1050000,0.65,105,56239
"1280",12283,303,7e+05,0.65,70,56309
"1487",10132,43,1750000,0.65,175,56484
"1077",38794,681,490000,0.775,49,56533
"2684",35932,-195,6480000,0.6,648,57181
"674",7141,599.5,980000,0.775,98,57279
"1829",29989,208,6080000,0.65,608,57887
"2053",27316,398,2990000,0.65,299,58186
"1402",33576,414,8e+05,0.65,80,58266
"3418",31525,-341,490000,0.6,49,58315
"2880",34577,-143,1680000,0.6,168,58483
"4035",39622,-370,7e+05,0.6,70,58553
"1411",21452,444.5,2680000,0.65,268,58821
"2524",16428,-261,4170000,0.6,417,59238
"2946",43235,-376,1500000,0.6,150,59388
"5174",8156,-875,560000,0.3,56,59444
"1658",31545,482.5,4690000,0.65,469,59913
"411",24104,1413,2760000,0.825,276,60189
"5173",8087,-571,7790000,0.3,779,60968
"2607",43791,-61,6020000,0.6,602,61570
"320",27538,1091,7e+05,0.825,70,61640
"2290",39428,357,720000,0.65,72,61712
"3319",32540,-11,7e+05,0.6,70,61782
"2376",23973,279,2100000,0.65,210,61992
"1770",29795,233.5,1560000,0.65,156,62148
"269",42693,1191,3910000,0.825,391,62539
"351",25922,1134,1360000,0.825,136,62675
"724",42114,536,630000,0.775,63,62738
"3413",31544,-46,560000,0.6,56,62794
"2077",26755,104,1260000,0.65,126,62920
"616",42794,812,1460000,0.775,146,63066
"2974",11274,-384,560000,0.6,56,63122
"3362",42782,-191,2800000,0.6,280,63402
"1654",8861,363,490000,0.65,49,63451
"717",21113,950,980000,0.775,98,63549
"2372",38702,111,1e+06,0.65,100,63649
"3789",41548,-272,1e+06,0.6,100,63749
"1839",6564,6,1530000,0.65,153,63902
"1197",35935,223,1750000,0.65,175,64077
"459",13916,505,2310000,0.775,231,64308
"112",7629,1975,560000,0.85,56,64364
"4088",524,-128,1750000,0.6,175,64539
"44",8311,2002,560000,0.9,56,64595
"5513",39120,-631,2410000,0.3,241,64836
"1578",9414,86,8e+05,0.65,80,64916
"1814",6773,367,1200000,0.65,120,65036
"3359",42707,-393,1700000,0.6,170,65206
"2999",11067,-458.333333333333,2960000,0.6,296,65502
"14",1878,2972,7e+05,0.925,70,65572
"3041",10982,-243,8e+05,0.6,80,65652
"5106",23705,-722,560000,0.3,56,65708
"1507",32858,57,1360000,0.65,136,65844
"3470",31096,-410,560000,0.6,56,65900
"1188",14654,27,640000,0.65,64,65964
"5431",1720,-706,8e+05,0.3,80,66044
"356",25808,1358,1700000,0.825,170,66214
"31",42906,2034,1460000,0.9,146,66360
"3920",19536,-478,8e+05,0.6,80,66440
"3065",33402,-420,8e+05,0.6,80,66520
"707",6471,501,560000,0.775,56,66576
"774",44261,672.5,6700000,0.775,670,67246
"1184",36231,200,6560000,0.65,656,67902
"2409",18217,-163,1400000,0.6,140,68042
"1226",13947,205,8e+05,0.65,80,68122
"3404",8708,-323,1e+06,0.6,100,68222
"559",42928,957,2470000,0.775,247,68469
"551",21421,572,3750000,0.775,375,68844
"2541",15729,-295,2170000,0.6,217,69061
"4038",24683,-366,1700000,0.6,170,69231
"6897",42417,-1866,560000,0.05,56,69287
"2753",13532,-375,560000,0.6,56,69343
"2318",39044,115,1190000,0.65,119,69462
