# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,80.40572791,17.52206413,307.0227315
2099-11-27,78.00366682,10.82340004,117.1459885
2099-10-27,82.76090107,8.5395638,72.9241499
2099-09-27,67.17478294,18.52248567,343.0824755
2099-08-27,92.73406825,10.18357493,103.7051983
2099-07-28,50.39682323,17.44951732,304.4856547
2099-06-27,173.0145008,47.91274268,2295.630911
2099-05-27,116.8379341,33.98218821,1154.789116
2099-04-27,124.0503305,23.11442375,534.2765851
2099-03-27,45.78607049,11.79942508,139.2264322
2099-02-25,52.06668213,9.371362706,87.82243896
2099-01-25,137.6945958,13.64468873,186.1775304
2098-12-28,80.40572791,17.52206413,307.0227315
2098-11-27,78.00366682,10.82340004,117.1459885
2098-10-27,37.05129109,4.231436924,17.90505844
2098-09-27,185.6498463,25.78384748,664.8067908
2098-08-27,200.4625541,42.61542735,1816.074648
2098-07-28,201.7050817,80.71919793,6515.588915
2098-06-27,139.6191167,25.24334193,637.2263116
2098-05-27,95.83489185,23.38336705,546.7818547
2098-04-27,144.9245758,36.06665756,1300.803788
2098-03-27,108.4228926,38.7736879,1503.398874
2098-02-25,77.10132281,10.06627463,101.329885
2098-01-25,212.7772362,25.7282044,661.9405019
2097-12-28,53.72829302,11.66669955,136.1118785
2097-11-27,33.77218701,4.084424926,16.68252697
2097-10-27,53.53862697,7.540436524,56.85818297
2097-09-27,110.6184021,12.58823959,158.4637759
2097-08-27,102.6320492,32.40013455,1049.768719
2097-07-28,84.70620386,19.47025207,379.0907156
2097-06-27,155.5674762,15.89837516,252.7583326
2097-05-27,212.4472604,35.04361699,1228.055092
2097-04-27,76.80334225,18.66308845,348.3108704
2097-03-27,79.92857989,16.15443207,260.9656754
2097-02-25,114.4044882,14.87616524,221.3002921
2097-01-25,127.1578471,11.00494832,121.1088875
2096-12-28,122.0415553,12.60955872,159.0009712
2096-11-27,104.3766673,12.51842539,156.7109742
2096-10-27,77.46378304,7.928734503,62.86483082
2096-09-27,101.0097817,9.064442307,82.16411434
2096-08-27,66.89006822,31.59029591,997.9467957
2096-07-28,188.8954237,71.5752962,5123.023026
2096-06-27,85.92097698,28.08478644,788.7552296
2096-05-27,86.31769065,15.79561909,249.5015824
2096-04-27,127.7001181,31.60758353,999.0393365
2096-03-27,115.842471,13.32872685,177.6549596
2096-02-26,92.17517566,15.10218222,228.0759078
2096-01-26,108.4808674,16.4886502,271.8755854
2095-12-29,102.8236349,15.76588767,248.563214
2095-11-28,115.1166732,16.71037643,279.2366804
