# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,74.33383605,8.523850455,72.65602658
2099-11-27,257.6902774,62.93325466,3960.594541
2099-10-27,34.75439018,4.325391247,18.70900944
2099-09-27,58.62634184,14.69342741,215.8968092
2099-08-27,111.2804554,12.29822984,151.2464572
2099-07-28,41.08541344,12.99435728,168.8533212
2099-06-27,48.12193633,17.92338214,321.2476274
2099-05-27,244.566687,74.51096053,5551.88324
2099-04-27,138.7440258,56.19855793,3158.277914
2099-03-27,90.77864515,10.73978692,115.343023
2099-02-25,189.6983605,33.00927491,1089.61223
2099-01-25,119.7126614,23.86382794,569.4822839
2098-12-28,74.33383605,8.523850455,72.65602658
2098-11-27,257.6902774,62.93325466,3960.594541
2098-10-27,62.70788207,19.24874274,370.514097
2098-09-27,108.8778188,16.05517038,257.7684961
2098-08-27,147.3368201,22.0040544,484.1784101
2098-07-28,142.7455737,30.18719605,911.2668055
2098-06-27,86.64927892,32.98466269,1087.987973
2098-05-27,35.45319735,13.78032235,189.8972841
2098-04-27,120.601976,14.81737032,219.5544633
2098-03-27,114.3700004,14.62638771,213.9312174
2098-02-25,14.76022289,3.930574312,15.44941442
2098-01-25,102.5020485,12.70115501,161.3193386
2097-12-28,149.0627995,18.7624527,352.0296313
2097-11-27,182.2214978,22.57846262,509.7869743
2097-10-27,156.0433615,38.78838334,1504.538682
2097-09-27,74.0960439,23.11434287,534.2728463
2097-08-27,87.9470224,27.69222557,766.8593568
2097-07-28,279.7062921,36.91081739,1362.40844
2097-06-27,85.31200339,19.11618259,365.428437
2097-05-27,106.1077407,21.79817145,475.1602784
2097-04-27,159.992978,32.19292397,1036.384354
2097-03-27,79.59332079,17.55370085,308.1324135
2097-02-25,105.3791926,26.4846001,701.4340426
2097-01-25,46.39100493,6.258489995,39.16869702
2096-12-28,148.3424732,25.18256312,634.161485
2096-11-27,127.5679419,9.988181475,99.76376918
2096-10-27,87.05160643,9.742195118,94.91036572
2096-09-27,101.8476582,20.97587974,439.987531
2096-08-27,220.0591285,60.5825376,3670.243862
2096-07-28,76.1858865,15.44945498,238.6856591
2096-06-27,40.73626661,10.29732806,106.0349651
2096-05-27,20.95776802,7.435809383,55.29126118
2096-04-27,63.13272069,13.57183782,184.1947818
2096-03-27,62.36566292,11.62773512,135.2042241
2096-02-26,45.10544635,9.119283318,83.16132823
2096-01-26,167.29404,28.89735486,835.0571179
2095-12-29,83.32390278,10.5539928,111.3867641
2095-11-28,153.1896683,13.87227734,192.4400786
2095-10-28,85.9701328,20.0666929,402.6721641
2095-09-28,83.67623459,13.66066467,186.6137593
2095-08-28,25.78533509,18.65052927,347.8422421
2095-07-28,112.8656775,25.13181921,631.6083366
2095-06-28,103.1875529,19.1437938,366.4848412
2095-05-28,75.93651395,17.64335637,311.2880239
2095-04-28,63.17556048,11.79251601,139.0634338
2095-03-28,112.2907885,33.82825396,1144.350766
2095-02-26,84.57094389,29.66734533,880.1513789
2095-01-26,151.8941287,12.82087689,164.3748842
2094-12-29,215.4205764,40.23425092,1618.794947
2094-11-28,119.4198409,10.92873647,119.4372808
2094-10-28,12.29502387,3.536264277,12.50516504
2094-09-28,69.17270295,7.540936047,56.86571646
2094-08-28,89.11653196,31.09330288,966.7934837
2094-07-29,133.1538824,39.46746535,1557.680821
2094-06-28,186.8650024,63.03682161,3973.640879
2094-05-28,54.83721748,9.136597705,83.47741763
2094-04-28,126.7624789,21.57128476,465.3203262
2094-03-28,77.73460853,15.97199339,255.1045728
2094-02-26,75.75592732,10.46845891,109.5886319
2094-01-26,89.58137818,11.95348426,142.8857859
2093-12-29,104.6547154,16.47411833,271.3965746
2093-11-28,117.488463,15.83266513,250.6732852
2093-10-28,164.2388514,21.5734961,465.4157342
2093-09-28,145.7865577,76.48120687,5849.375004
2093-08-28,224.4466057,59.69858514,3563.921068
2093-07-29,145.1943819,33.29131566,1108.311698
2093-06-28,61.52564697,15.53494601,241.3345476
2093-05-28,67.48161934,24.57597827,603.9787078
2093-04-28,42.28565817,11.41784578,130.3672023
2093-03-28,66.67455929,17.53991688,307.6486842
2093-02-26,99.82610608,16.21610575,262.9620857
2093-01-26,107.3901351,12.13275992,147.2038633
2092-12-29,162.2665737,27.49881063,756.1845859
2092-11-28,95.22269658,12.05370714,145.2918559
2092-10-28,126.9910349,22.31735582,498.0643707
2092-09-28,73.14326681,20.57619971,423.3799946
2092-08-28,94.54522982,14.35246622,205.9932866
2092-07-29,254.8537654,67.18796553,4514.222712
2092-06-28,35.30769224,12.17184947,148.1539196
2092-05-28,176.4567645,42.57924528,1812.992129
2092-04-28,171.9191839,26.30706044,692.0614292
2092-03-28,60.48894067,13.58862659,184.6507726
2092-02-27,102.5044191,56.35554324,3175.947254
2092-01-27,99.20896569,8.64347939,74.70973597
2091-12-30,57.19452607,5.682743402,32.29357257
2091-11-29,87.06561733,19.57468849,383.1684295
2091-10-29,118.4729618,33.49688887,1122.041564
2091-09-29,110.7329506,14.80788874,219.273569
2091-08-29,15.35611398,4.904342256,24.05257297
2091-07-30,48.41291613,10.60347362,112.4336528
2091-06-29,36.79582434,12.68726471,160.9666858
2091-05-29,30.40339104,9.390920599,88.18938969
2091-04-29,123.4337396,25.62053496,656.4118119
2091-03-29,144.2063316,28.28399927,799.9846149
2091-02-27,38.6867942,11.75700014,138.2270522
2091-01-27,139.7264843,17.88879503,320.0089877
2090-12-30,159.0152686,56.84147818,3230.953641
2090-11-29,68.37809766,10.10240235,102.0585332
2090-10-29,101.0990805,12.04065585,144.9773933
2090-09-29,180.5828526,29.00906381,841.525783
2090-08-29,117.2395093,25.1391149,631.975098
2090-07-30,59.73867268,17.57536531,308.8934658
2090-06-29,140.9022969,21.25446338,451.7522135
2090-05-29,113.0018137,29.19844042,852.5489228
2090-04-29,63.731395,20.40328801,416.2941615
2090-03-29,178.0238391,31.70754138,1005.368181
2090-02-27,208.9060894,29.98960818,899.3765988
2090-01-27,177.9249647,22.93610531,526.0649268
2089-12-30,109.2553337,17.72105816,314.0359024
2089-11-29,149.8159802,13.31532255,177.2978146
2089-10-29,179.1824464,13.62538001,185.6509804
2089-09-29,146.9076182,35.89027437,1288.111795
2089-08-29,223.205232,78.65064259,6185.92358
2089-07-30,56.95216676,11.4391052,130.8531278
2089-06-29,215.0071132,94.81685932,8990.236811
2089-05-29,110.7015199,27.44249168,753.0903495
2089-04-29,91.7635304,23.54320082,554.282305
2089-03-29,193.545533,25.70149271,660.5667275
2089-02-27,15.74765939,8.279764316,68.55449713
2089-01-27,104.4450787,47.91558236,2295.903033
2088-12-30,142.029321,28.08507803,788.7716079
2088-11-29,111.5793469,12.0138799,144.3333103
2088-10-29,51.1974536,10.13066625,102.6303987
2088-09-29,54.60227721,16.52240941,272.9900127
2088-08-29,2.93968983,2.559150779,6.549252712
2088-07-30,87.60067422,47.74415199,2279.504049
2088-06-29,181.7302518,69.25803569,4796.675507
2088-05-29,91.55551191,24.51068613,600.7737345
2088-04-29,107.7818023,25.11583378,630.8051063
2088-03-29,408.9377564,54.08576633,2925.27012
2088-02-28,51.09332584,7.136637416,50.9315936
