# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,132.479699,13.64156838,186.0923879
2099-11-27,35.40047555,4.368566767,19.0843756
2099-10-27,76.19672416,15.16772313,230.0598249
2099-09-27,61.97422891,6.453200898,41.64380183
2099-08-27,98.43930902,20.94130508,438.5382585
2099-07-28,122.0512448,36.47014679,1330.071607
2099-06-27,75.40589054,28.23247702,797.0727587
2099-05-27,245.0458527,51.17728726,2619.114732
2099-04-27,154.2302235,34.3050207,1176.834445
2099-03-27,278.1564004,36.82437341,1356.034477
2099-02-25,141.5260309,17.16597431,294.6706739
2099-01-25,135.6310694,9.64863871,93.09622896
2098-12-28,132.479699,13.64156838,186.0923879
2098-11-27,35.40047555,4.368566767,19.0843756
2098-10-27,26.77912654,4.369375915,19.09144588
2098-09-27,28.48980001,8.874949132,78.76472209
2098-08-27,169.1154529,32.32992354,1045.223956
2098-07-28,201.1456129,27.95067969,781.2404953
2098-06-27,134.3519035,21.20542582,449.670084
2098-05-27,97.25300974,30.85273076,951.8909956
2098-04-27,70.23854622,14.57770909,212.5096024
2098-03-27,127.2218533,19.99399777,399.7599467
2098-02-25,57.03028797,9.639349853,92.91706559
2098-01-25,135.404348,15.39497496,237.005254
2097-12-28,60.69397384,7.225101351,52.20208953
2097-11-27,19.46415744,3.871980368,14.99223197
2097-10-27,50.40492716,12.29074145,151.0623254
2097-09-27,101.9635666,8.833184686,78.02515169
2097-08-27,157.3126095,26.63970654,709.6739645
2097-07-28,52.82686799,15.82913381,250.5614772
2097-06-27,62.33387012,17.30646254,299.5136457
2097-05-27,121.8478752,36.31342122,1318.664561
2097-04-27,99.66696407,24.13361697,582.4314681
2097-03-27,136.7683505,37.16330683,1381.111374
2097-02-25,84.66303217,14.06286655,197.7642155
2097-01-25,83.95295885,14.69542664,215.9555641
2096-12-28,98.71272093,8.646552589,74.76287167
2096-11-27,162.6367254,25.3177695,640.9894526
2096-10-27,41.6160346,9.581437769,91.80394971
2096-09-27,33.52488349,7.309840257,53.43376459
2096-08-27,104.0625897,33.10027005,1095.627877
2096-07-28,118.4359105,18.70481511,349.8701084
2096-06-27,231.0995956,45.75818818,2093.811786
2096-05-27,128.6987316,27.55326774,759.1825631
2096-04-27,139.3950474,21.78376354,474.5323542
2096-03-27,153.3533761,44.09550139,1944.413243
2096-02-26,85.7011994,17.3114841,299.6874818
2096-01-26,139.678031,17.54997219,308.001524
2095-12-29,131.1409791,20.28547626,411.5005471
2095-11-28,109.8323135,15.02611769,225.784213
2095-10-28,165.2661258,21.1989447,449.3952565
2095-09-28,67.20046979,8.829293265,77.95641956
2095-08-28,98.3923739,14.62159053,213.7909095
2095-07-28,140.4553402,43.41917124,1885.224431
2095-06-28,135.3184428,34.45421604,1187.093003
2095-05-28,96.65722186,22.12854214,489.672377
2095-04-28,45.68296272,8.272863682,68.4402735
2095-03-28,50.67777622,10.62253928,112.8383408
2095-02-26,74.0557816,11.61104042,134.8162597
2095-01-26,71.16531039,9.317272229,86.81156179
2094-12-29,131.585686,19.78520283,391.4542509
2094-11-28,100.0079734,16.77215055,281.3050339
2094-10-28,35.88411715,4.951241623,24.51479361
2094-09-28,80.20424466,14.46260448,209.1669283
2094-08-28,37.52189171,6.962161458,48.47169217
2094-07-29,55.89941999,9.824620431,96.52316662
2094-06-28,383.3431434,53.90782734,2906.053849
2094-05-28,148.118097,35.98775699,1295.118653
2094-04-28,33.40024471,7.417509319,55.01944449
2094-03-28,115.6336063,17.20798239,296.1146579
2094-02-26,104.4044464,40.75335222,1660.835718
2094-01-26,126.0057169,10.98874723,120.7525658
2093-12-29,87.67010424,17.02812208,289.9569415
2093-11-28,28.01995356,4.279739442,18.31616969
2093-10-28,50.90420476,4.906063494,24.069459
2093-09-28,83.52879973,10.52428886,110.760656
2093-08-28,48.90991793,7.532211592,56.73421146
2093-07-29,69.33355316,16.74481056,280.3886807
2093-06-28,53.59326044,25.09228321,629.6226766
2093-05-28,160.8531137,23.23852433,540.0290132
2093-04-28,88.27916016,10.65570531,113.5440557
2093-03-28,47.08395528,7.640834466,58.38235133
2093-02-26,86.97008203,12.3051357,151.4163646
2093-01-26,90.72627486,9.472140424,89.7214442
2092-12-29,91.84288733,7.938885989,63.02591074
2092-11-28,29.83224,3.769278228,14.20745836
2092-10-28,56.61631061,8.315324034,69.1446138
2092-09-28,16.284607,2.427567198,5.893082502
2092-08-28,16.57361239,3.803646055,14.46772332
2092-07-29,141.2645931,22.00963502,484.4240336
2092-06-28,85.0426995,17.30001708,299.2905909
2092-05-28,144.0959995,21.26110635,452.0346431
2092-04-28,161.3203416,18.6321874,347.1584074
2092-03-28,94.90860425,16.15456024,260.9698166
2092-02-27,55.03673228,9.995064391,99.90131219
2092-01-27,148.994413,12.90325468,166.4939813
2091-12-30,45.35342492,6.711445933,45.04350651
2091-11-29,102.6675539,26.00706902,676.3676392
2091-10-29,47.99087014,9.301752599,86.52260142
