# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,152.6965856,10.79740744,116.5840074
2099-11-27,85.60513485,6.577970516,43.26969611
2099-10-27,111.2012269,10.2976037,106.040642
2099-09-27,133.5488816,9.728552218,94.64472826
2099-08-27,60.73230404,20.46233988,418.7073532
2099-07-28,95.23573535,14.12112219,199.4060918
2099-06-27,42.04907562,18.32636462,335.8556402
2099-05-27,28.16471965,8.827859334,77.93110042
2099-04-27,53.88961374,13.12536269,172.2751457
2099-03-27,61.86544691,10.00242388,100.0484834
2099-02-25,76.22836526,15.00352604,225.1057937
2099-01-25,129.0919273,15.12836671,228.8674793
2098-12-28,152.6965856,10.79740744,116.5840074
2098-11-27,85.60513485,6.577970516,43.26969611
2098-10-27,103.8004738,10.81027222,116.8619855
2098-09-27,93.36740726,16.00176859,256.0565981
2098-08-27,82.70846324,23.28548644,542.2138786
2098-07-28,71.20686532,28.05931932,787.3254006
2098-06-27,42.57900594,22.67745743,514.2670756
2098-05-27,65.42220883,12.20705087,149.012091
2098-04-27,63.1406012,15.74244262,247.8244995
2098-03-27,73.35384229,8.584518156,73.69395198
2098-02-25,122.4784716,13.42467194,180.2218166
2098-01-25,87.82292406,8.618182013,74.2730612
2097-12-28,172.5615142,10.8877561,118.5432328
2097-11-27,142.9834254,9.666804369,93.44710671
2097-10-27,125.7219073,9.72750852,94.62442201
2097-09-27,98.46011174,11.46249861,131.3888744
2097-08-27,61.09501473,8.061899414,64.99422216
2097-07-28,130.2416633,39.92513687,1594.016554
2097-06-27,106.7053579,35.20023217,1239.056345
2097-05-27,276.4232346,41.98279732,1762.555271
2097-04-27,103.5132286,12.33257772,152.0924733
2097-03-27,33.17949723,5.136334567,26.38193278
2097-02-25,83.30918742,10.86158798,117.9740936
2097-01-25,146.0806841,12.96448832,168.0779574
2096-12-28,144.9617367,11.58216549,134.1465574
2096-11-27,119.9200744,10.29852702,106.0596588
2096-10-27,119.2603489,24.10697396,581.1461937
2096-09-27,99.64335772,7.804430908,60.9091418
2096-08-27,2.764119456,1.010032263,1.020165171
2096-07-28,201.2880656,39.36204005,1549.370197
2096-06-27,117.075552,19.7892272,391.6135133
2096-05-27,96.46055575,16.48861313,271.874363
2096-04-27,215.5689425,28.57788397,816.6954521
2096-03-27,121.8934257,19.46801001,379.0034139
2096-02-26,150.3731139,30.7705292,946.8254674
2096-01-26,77.51224999,9.651853917,93.15828403
2095-12-29,87.49667348,7.697208517,59.24701896
2095-11-28,51.25438391,8.586599769,73.72969559
2095-10-28,59.23237934,11.63259316,135.3172236
2095-09-28,111.9611947,15.1382181,229.1656472
2095-08-28,88.68556002,21.24004475,451.1395011
2095-07-28,80.2281242,24.95847807,622.9256277
2095-06-28,88.67152087,14.14409371,200.0553869
2095-05-28,102.0536852,16.17426995,261.6070085
2095-04-28,67.76119775,7.986777281,63.78861133
2095-03-28,79.61755313,9.048410198,81.87372712
2095-02-26,84.57984315,14.4042409,207.482156
2095-01-26,95.94691548,10.46466071,109.5091238
2094-12-29,137.064135,11.57163724,133.9027885
2094-11-28,82.64125741,9.664121055,93.39523577
2094-10-28,38.58562958,6.260370566,39.19223963
2094-09-28,98.13798703,13.6229897,185.5858484
2094-08-28,37.61365572,8.713175263,75.91942316
2094-07-29,82.55610192,18.29511074,334.711077
2094-06-28,62.10630915,15.19835768,230.9900762
2094-05-28,83.78773293,17.82451863,317.7134643
2094-04-28,91.08019834,18.14505919,329.243173
2094-03-28,103.313259,23.60494583,557.1934674
2094-02-26,129.7779954,20.21988689,408.8438259
2094-01-26,138.1327905,16.94149644,287.0143016
2093-12-29,73.81711755,14.41183457,207.7009755
2093-11-28,150.3560018,14.58333453,212.6736459
2093-10-28,79.52665149,22.96837844,527.546408
2093-09-28,91.79224529,18.6812874,348.9904989
2093-08-28,70.58880139,9.243798045,85.4478023
2093-07-29,211.2835728,64.46509908,4155.749
2093-06-28,100.3499907,29.2118341,853.3312517
2093-05-28,148.7725942,38.45505585,1478.791321
2093-04-28,110.7674832,17.52805838,307.2328307
2093-03-28,74.2205281,16.59678262,275.4531932
2093-02-26,167.5233058,12.45384179,155.0981754
2093-01-26,94.06698834,9.482698205,89.92156524
2092-12-29,208.6136358,17.37084842,301.7463748
2092-11-28,88.00994999,11.42458763,130.5212025
2092-10-28,78.9278705,10.10653797,102.1421098
2092-09-28,68.5082321,10.70774198,114.6557383
2092-08-28,186.416119,52.66015578,2773.092006
2092-07-29,153.8626846,28.48357236,811.3138946
2092-06-28,91.74653521,19.67861547,387.2479069
2092-05-28,50.16476644,14.4358756,208.3945043
2092-04-28,153.0362288,14.83047475,219.9429814
2092-03-28,84.51498588,9.960410647,99.20978026
2092-02-27,32.28100892,5.096121613,25.97045549
2092-01-27,80.39180988,12.79014135,163.5877158
2091-12-30,96.88569074,5.522476686,30.49774874
2091-11-29,100.2234728,14.2920903,204.2638452
2091-10-29,125.9331219,19.8981582,395.9366998
2091-09-29,24.20097017,6.616854867,43.78276832
2091-08-29,76.00378298,10.23119023,104.6772536
2091-07-30,187.3673785,70.94466473,5033.145454
2091-06-29,60.63609772,9.896310436,97.93696024
