Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,min_relativehumidity,max_relativehumidity,co2,par,ozone,shortwave,FWI,
2099, 1, eco1, 0, 9.52, 2.98, 17.73, 9.62, 1.06, -99, 12.29, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 2, eco1, 0, 7.13, 0.3, 14.09, 4.15, 1.12, -99, 11.66, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 3, eco1, 0, 3.76, 6.18, 17.64, 3.59, 1.06, -99, 9.47, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 4, eco1, 0, 7.7, 4.52, 18.66, 7.39, 1.07, -99, 11.03, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 5, eco1, 0, 11.31, 11.96, 25.44, 67.08, 1.09, -99, 8.2, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 6, eco1, 0, 9.4, 19.45, 30.74, 40.33, 1.04, -99, 7.63, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 7, eco1, 0, 2.4, 20.4, 34.03, 16.15, 0.87, -99, 5.5, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 8, eco1, 0, 23.05, 21.92, 30.51, 271.84, 0.75, -99, 8.15, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 9, eco1, 0, 9.91, 20.83, 33.42, 32.54, 0.91, -99, 8.48, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 10, eco1, 0, 11.16, 16.01, 29.72, 20.65, 1, -99, 10.44, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 11, eco1, 0, 9.78, 10.68, 26.71, 10.82, 1.04, -99, 12.51, -99, -99, -99, -99, -99, -99, -99, 0, 
2099, 12, eco1, 0, 8.12, 4.96, 20.57, 13.15, 1.13, -99, 9.3, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 1, eco1, 0, 9.52, 2.98, 17.73, 9.62, 1.06, -99, 12.29, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 2, eco1, 0, 7.13, 0.3, 14.09, 4.15, 1.12, -99, 11.66, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 3, eco1, 0, 7.08, 0.44, 12.09, 3.68, 1.08, -99, 12.49, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 4, eco1, 0, 5.43, 4.71, 19.38, 10.55, 1.1, -99, 9.89, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 5, eco1, 0, 12.97, 10.91, 23.21, 29.78, 1.1, -99, 9.61, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 6, eco1, 0, 11.96, 17.76, 33.14, 99.62, 0.91, -99, 6.5, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 7, eco1, 0, 10.11, 21.14, 35.5, 35.02, 0.86, -99, 6.61, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 8, eco1, 0, 3.86, 20.72, 34.41, 11.79, 0.95, -99, 7.4, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 9, eco1, 0, 10.38, 20.82, 35.32, 23.39, 0.98, -99, 6.63, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 10, eco1, 0, 6.99, 14.46, 30.09, 19.37, 0.98, -99, 9.28, -99, -99, -99, -99, -99, -99, -99, 0, 
2098, 11, eco1, 0, 4.65, 10.92, 24.63, 2.13, 1.03, -99, 13.95, -99, -99, -99, -99, -99, -99, -99, 0, 
