# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,53.9236904,7.754682391,60.13509899
2099-11-27,46.74108379,8.771605179,76.94105742
2099-10-27,138.0596182,13.26850001,176.0530925
2099-09-27,31.12737342,8.292104843,68.75900272
2099-08-27,28.46400141,8.377739707,70.1865226
2099-07-28,59.38426614,28.22218203,796.4915584
2099-06-27,154.805675,26.64999743,710.2223631
2099-05-27,72.50041501,19.07812082,363.9746942
2099-04-27,17.1189313,6.567998303,43.13860171
2099-03-27,112.2553938,19.49707721,380.1360199
2099-02-25,39.68805888,9.07525437,82.36024189
2099-01-25,136.9210514,24.21652122,586.4398998
2098-12-28,53.9236904,7.754682391,60.13509899
2098-11-27,46.74108379,8.771605179,76.94105742
2098-10-27,83.71492403,14.3388732,205.6032847
2098-09-27,81.95597057,11.28091037,127.2589388
2098-08-27,49.89581894,16.75967654,280.8867577
2098-07-28,47.42144583,14.14337444,200.0350404
2098-06-27,60.98053209,15.47742077,239.5505538
2098-05-27,69.48859541,17.23453751,297.0292832
2098-04-27,151.9471218,28.31283559,801.6166592
2098-03-27,80.24655684,16.19939586,262.4204262
2098-02-25,53.0640935,12.96362469,168.0555651
2098-01-25,89.99346469,12.97668755,168.3944198
2097-12-28,100.0413436,25.17985564,634.02513
2097-11-27,58.97764412,9.968770412,99.37638354
2097-10-27,107.991582,10.71895136,114.8959183
2097-09-27,138.4568778,18.94093868,358.7591582
2097-08-27,8.268933933,9.165692964,84.00992751
2097-07-28,7.048126997,3.331931846,11.10176982
2097-06-27,228.4599096,41.70298176,1739.138688
2097-05-27,273.2959598,79.33601257,6294.20289
2097-04-27,90.14648883,21.86314891,477.9972803
2097-03-27,67.34396161,18.13043673,328.7127359
2097-02-25,199.1764982,20.76907,431.3542686
2097-01-25,186.1132045,32.01470579,1024.941387
2096-12-28,76.85543331,26.63828658,709.598312
2096-11-27,133.7222805,11.17975156,124.9868449
2096-10-27,136.7941093,19.01342042,361.5101562
