# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/m),STD_DEV(mm/m),VARIANCE(mm/m^2)
2099-12-28,130.8307655,10.47349894,109.69418
2099-11-27,102.84029,13.57135186,184.1815912
2099-10-27,77.04449311,6.266254927,39.26595081
2099-09-27,99.94625848,12.10957471,146.6417996
2099-08-27,65.7031035,15.78840022,249.2735814
2099-07-28,141.7065308,15.86074473,251.5632234
2099-06-27,35.1061294,6.928749616,48.00757124
2099-05-27,139.5499409,18.759359,351.9135503
2099-04-27,71.21177192,13.89718534,193.1317602
2099-03-27,135.3175235,22.36571662,500.2252798
2099-02-25,76.97822855,12.13063277,147.1522514
2099-01-25,169.7534358,22.67631516,514.2152693
2098-12-28,130.8307655,10.47349894,109.69418
2098-11-27,102.84029,13.57135186,184.1815912
2098-10-27,169.3761432,15.27297678,233.2638198
2098-09-27,169.1583872,11.98080725,143.5397423
2098-08-27,117.3326004,24.33088022,591.9917325
2098-07-28,167.0390234,37.44345844,1402.01258
2098-06-27,43.76949935,14.52803148,211.0636986
2098-05-27,73.2855922,8.302881804,68.93784625
2098-04-27,64.7999084,8.728100453,76.17973752
2098-03-27,36.08068698,3.898765847,15.20037513
2098-02-25,146.7659488,12.78457544,163.4453693
2098-01-25,132.6723742,19.34250316,374.1324287
2097-12-28,144.6912895,11.77238508,138.5890505
2097-11-27,86.33365991,7.887966223,62.22001114
2097-10-27,148.0944438,13.07814094,171.0377705
2097-09-27,10.58240258,5.015333349,25.1535686
2097-08-27,144.3129263,21.51756042,463.0054064
2097-07-28,82.35751592,17.35564982,301.2185808
2097-06-27,128.8382395,21.73778311,472.5312145
2097-05-27,100.5357976,31.42542312,987.5572182
2097-04-27,106.7073256,23.06806368,532.135562
2097-03-27,8.806761153,3.813670766,14.54408471
2097-02-25,75.52596291,12.00691517,144.166012
2097-01-25,84.66241495,11.05476604,122.2078522
2096-12-28,115.6393395,9.613511378,92.41960101
2096-11-27,129.1989734,14.7620975,217.9195226
2096-10-27,61.85942679,6.281791147,39.46090001
2096-09-27,59.33484436,5.921437023,35.06341642
2096-08-27,145.678744,25.22259732,636.1794157
2096-07-28,107.7446896,29.67871979,880.8264083
2096-06-27,85.63966589,14.76576429,218.0277951
2096-05-27,75.27855609,19.6334103,385.4708001
2096-04-27,108.907721,14.93361224,223.0127746
2096-03-27,34.18366882,5.182878337,26.86222786
2096-02-26,118.5628512,43.53329841,1895.14807
2096-01-26,73.19575842,6.388564184,40.81375234
2095-12-29,87.32664619,10.86471372,118.0420043
2095-11-28,140.0199475,16.6106461,275.9135639
2095-10-28,71.51013665,15.52206368,240.934461
2095-09-28,184.9885118,29.64137405,878.6110554
2095-08-28,132.0758606,29.24978576,855.5499672
2095-07-28,51.4144078,12.87894818,165.8673061
2095-06-28,70.05219376,17.07454176,291.5399763
2095-05-28,116.7189315,14.8335178,220.0332504
2095-04-28,117.6687006,15.56938216,242.4056608
2095-03-28,116.9520276,32.52868511,1058.115355
2095-02-26,77.69353218,10.69455413,114.373488
2095-01-26,103.2429994,20.44539138,418.0140287
2094-12-29,74.31419839,5.954201736,35.45251832
2094-11-28,175.9793146,17.05832219,290.9863559
