Time,Year,Hnumber,LandfallLatitude,LandfallMaxWindSpeed,PathHeading,StudyAreaMaxWS,StudyAreaMinWS,ImpactsStudyArea,
4, 3, 1, 32.4346750370925, 143.59228, 337.041794173419, 117.853065379567, 76.4918732018302, Yes, 
8, 6, 1, 32.9033514814684, 175.59228, 336.340362876654, 152.684461830399, 85.8425034692474, Yes, 
8, 7, 1, 32.7329548983136, 140.59228, 316.763715408742, 85.9180673310327, 63.5901733017201, No, 
10, 8, 1, 31.0231426893035, 146.59228, 346.293880268931, 54.8018674957566, 50.2888588130743, No, 
12, 10, 1, 34.5732268695021, 126.59228, 312.622440233827, 117.49614546366, 73.6136845694406, Yes, 
16, 14, 1, 36.6361449936405, 101.59228, 328.778305649757, 54.1283000493132, 49.2284811417391, No, 
16, 15, 1, 33.6498832977843, 169.59228, 314.232662506402, 154.760929306717, 99.6474013786178, Yes, 
18, 16, 1, 33.6427142062923, 106.59228, 309.277081415057, 99.1002843075114, 71.7080940964462, Yes, 
20, 18, 1, 32.0882285067812, 180.59228, 313.801931850612, 77.047491222538, 58.1880482778354, No, 
24, 23, 1, 36.2994070732268, 111.59228, 332.166942730546, 58.6583117555504, 49.920323261481, No, 
28, 26, 1, 31.9710805346724, 129.59228, 314.560504034162, 64.0166496438093, 53.5845653375497, No, 
28, 27, 1, 32.1868279225193, 131.59228, 305.33173955977, 68.0612953049445, 55.7155544804272, No, 
30, 28, 1, 33.8657560146414, 107.59228, 310.866979695857, 105.24787234144, 77.3430133345722, Yes, 
30, 29, 1, 32.9865665482823, 131.59228, 323.848747462034, 110.059036704632, 72.9528733527715, Yes, 
30, 29, 2, 37.2905285649933, 94.59228, 355.885232388973, 50.6364607753572, 48.787725670079, No, 
30, 29, 3, 35.3853157511214, 204.59228, 286.277531944215, 163.907247401104, 74.2852298913217, Yes, 
32, 31, 1, 33.6546295710607, 125.59228, 341.297339685261, 117.529847492891, 81.2182808090606, Yes, 
32, 31, 2, 31.3221999166301, 120.59228, 326.200972571969, 55.704042996972, 50.4848839220331, No, 
34, 32, 1, 32.1788782674586, 126.59228, 340.148467719555, 69.8468002625297, 55.9168204652962, No, 
34, 33, 1, 32.7171834037174, 119.59228, 320.218301229179, 80.1778534809126, 60.7894806163613, No, 
40, 39, 1, 36.1421866694465, 107.59228, 288.237041272223, 74.3524413899893, 53.840266938419, No, 
44, 42, 1, 34.1969551853137, 96.59228, 312.838065773249, 96.0672833238695, 68.8057710454078, No, 
44, 42, 2, 38.0559917671373, 124.59228, 309.786073341966, 49.9238462347553, 48.4718131965621, No, 
44, 43, 1, 35.7130188241601, 152.59228, 348.6377639696, 79.2048774698409, 53.1242941642261, No, 
50, 48, 1, 33.5311010141624, 115.59228, 315.593297593296, 106.122903688267, 74.0631134643013, Yes, 
54, 52, 1, 37.3917954842793, 133.59228, 309.681924916804, 52.322775001981, 48.9282817380405, No, 
54, 52, 2, 36.5151980454568, 111.59228, 330.57686291635, 56.3120511843878, 49.6175508172865, No, 
54, 53, 1, 30.9915235095425, 102.59228, 293.894712589681, 52.8762861870333, 50.0994825880839, No, 
56, 54, 1, 37.5792480255943, 132.59228, 328.089373745024, 51.706823965157, 49.0327584661518, No, 
60, 59, 1, 37.7824542697519, 103.59228, 300.960962325335, 49.8299098827115, 48.4251205991664, No, 
62, 60, 1, 31.3333016316639, 103.59228, 311.402257308364, 54.2215923414232, 50.5263539858491, No, 
62, 61, 1, 34.9142976882169, 183.59228, 303.116846680641, 149.512792624429, 79.6255868805763, Yes, 
64, 62, 1, 30.9413318682229, 99.59228, 289.105065725744, 53.1311713547965, 49.8239891975818, No, 
64, 62, 2, 36.4836924839066, 118.59228, 349.530467279255, 57.254655245517, 50.1352493176718, No, 
64, 63, 1, 32.6116922240937, 118.59228, 297.152904048562, 73.8679822659484, 56.9144694540358, No, 
68, 67, 1, 34.411821383331, 157.59228, 300.825976878405, 147.452062889598, 103.881547165458, Yes, 
68, 67, 2, 35.4081308566267, 102.59228, 344.359938055277, 71.490985354697, 51.2886443398395, No, 
70, 68, 1, 32.1251495641656, 219.59228, 358.532813116908, 216.980991765104, 110.029633824582, Yes, 
72, 70, 1, 34.925786830415, 178.59228, 317.012812532485, 148.025281310274, 70.8630609468481, Yes, 
72, 70, 2, 33.1090940068709, 127.59228, 300.341684222221, 94.7603520989726, 62.872758263692, No, 
72, 71, 1, 37.479345333227, 119.59228, 317.550020813942, 51.3084848705085, 48.7680725259858, No, 
74, 72, 1, 32.148067948455, 192.59228, 347.013692483306, 92.4976476071484, 63.875439851053, No, 
78, 77, 1, 32.1613663279451, 100.59228, 281.63874745369, 60.4377608270279, 52.3693638097594, No, 
80, 78, 1, 37.8793190255994, 161.59228, 286.617286615074, 51.965504352404, 49.0885711630614, No, 
80, 78, 2, 31.3202480421634, 149.59228, 295.488656386733, 60.3406177023876, 52.9970148057813, No, 
