Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1274.7, 3223.5, 0, 4, 0.8, 
5, -197.4, 1250.3, 3500.6, 210.2, 2.73, 195, 
10, -212.7, 1277.5, 3641.9, 243.3, 2.75, 208.5, 
15, -141.2, 1326.4, 3251.8, 192.8, 3.67, 224, 
20, -172.4, 1407.9, 3029.5, 224.8, 3.47, 258.7, 
25, -115.8, 1414.5, 3040.1, 174, 3.92, 199.5, 
30, -174.5, 1441.8, 3066.5, 225.7, 3.46, 207.4, 
35, -116.6, 1487.6, 3030.1, 176.8, 3.85, 227.1, 
40, -176.4, 1513.4, 3013.9, 235.1, 3.53, 211.6, 
45, -94.4, 1501.8, 3104.2, 158.3, 4.37, 188.2, 
50, -149.6, 1535.2, 3200.3, 211.7, 3.98, 230.3, 
55, -111.1, 1544.2, 3236.9, 177.5, 3.79, 209.2, 
60, -194.7, 1532.9, 3369.6, 249, 3.55, 192.1, 
65, -239.3, 1542.3, 3694.6, 291.7, 3.61, 213.1, 
70, -185.8, 1554.4, 3777.3, 244.6, 3.8, 220.6, 
75, -144.6, 1594.8, 3709.8, 215.1, 3.85, 248.7, 
80, -95.6, 1629.9, 4092.3, 190.1, 3.88, 250.8, 
